filename, language, JSON, YAML, Properties, XML, PHP, JavaScript, Markdown, CSS, SCSS, SVG, HTML, comment, blank, total
c:\laragon\www\cms\Modules\UserCustomFields\Database\Migrations\2020_02_19_123941_create_user_custom_fields_table.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 10, 4, 36
c:\laragon\www\cms\Modules\UserCustomFields\Database\Seeders\UserCustomFieldsDatabaseSeeder.php, PHP, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 5, 22
c:\laragon\www\cms\Modules\UserCustomFields\Entities\UserCustomField.php, PHP, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
c:\laragon\www\cms\Modules\UserCustomFields\Http\Controllers\UserCustomFieldsController.php, PHP, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 35, 12, 95
c:\laragon\www\cms\Modules\UserCustomFields\Http\Requests\FieldRequest.php, PHP, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 10, 5, 34
c:\laragon\www\cms\Modules\UserCustomFields\Providers\HooksProvider.php, PHP, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
c:\laragon\www\cms\Modules\UserCustomFields\Providers\RouteServiceProvider.php, PHP, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 31, 9, 70
c:\laragon\www\cms\Modules\UserCustomFields\Providers\UserCustomFieldsServiceProvider.php, PHP, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 35, 16, 111
c:\laragon\www\cms\Modules\UserCustomFields\Resources\assets\js\app.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\laragon\www\cms\Modules\UserCustomFields\Resources\assets\sass\app.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\laragon\www\cms\Modules\UserCustomFields\Resources\views\create.blade.php, PHP, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 15, 67
c:\laragon\www\cms\Modules\UserCustomFields\Resources\views\edit.blade.php, PHP, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 15, 67
c:\laragon\www\cms\Modules\UserCustomFields\Resources\views\index.blade.php, PHP, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
